
,MERKEZİ YÖNETİM BORÇ STOKU DÖVİZ-FAİZ YAPISI (*) ,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,(Milyon TL)
,2023 AYLAR,İÇ BORÇ STOKU,,,,DIŞ BORÇ STOKU,,,TL STOK,,,,DÖVİZ STOK,,,TOPLAM STOK,,,
,,SABİT ,DEĞİŞKEN ,TÜFE'YE ENDEKSLİ,İÇ BORÇ STOKU TOPLAM,SABİT ,DEĞİŞKEN ,DIŞ BORÇ STOKU TOPLAM,SABİT ,DEĞİŞKEN ,TÜFE'YE ENDEKSLİ,TL STOK TOPLAM,SABİT ,DEĞİŞKEN ,DÖVİZ STOK TOPLAM,SABİT ,DEĞİŞKEN ,TÜFE'YE ENDEKSLİ,TOPLAM STOK TOPLAM
,Ocak,"1,101,112","478,343","399,592","1,979,047","1,886,091","316,464","2,202,555","775,202","273,630","399,592","1,448,425","2,212,000","521,177","2,733,177","2,987,202","794,807","399,592","4,181,602"
,Şubat,"1,144,257","477,762","399,055","2,021,075","1,882,798","309,098","2,191,896","821,225","284,782","399,055","1,505,062","2,205,830","502,079","2,707,909","3,027,055","786,861","399,055","4,212,971"
,Mart,"1,256,619","575,417","401,398","2,233,435","1,933,240","326,111","2,259,350","924,764","362,324","401,398","1,688,487","2,265,094","539,204","2,804,298","3,189,859","901,528","401,398","4,492,785"
,Nisan,"1,291,611","598,268","403,049","2,292,927","1,966,539","332,865","2,299,404","953,202","380,444","403,049","1,736,694","2,304,948","550,689","2,855,637","3,258,149","931,133","403,049","4,592,331"
,Mayıs,"1,324,979","629,498","393,638","2,348,115","2,047,011","340,864","2,387,875","974,982","405,581","393,638","1,774,201","2,397,007","564,782","2,961,789","3,371,990","970,362","393,638","4,735,990"
,Haziran,"1,494,884","685,085","395,663","2,575,631","2,604,273","440,268","3,044,541","1,046,647","403,158","395,663","1,845,468","3,052,510","722,194","3,774,704","4,099,157","1,125,352","395,663","5,620,172"
,Temmuz,"1,508,711","720,945","413,412","2,643,068","2,719,465","462,798","3,182,263","1,080,181","423,846","413,412","1,917,439","3,147,995","759,897","3,907,893","4,228,177","1,183,743","413,412","5,825,331"
,Ağustos,"1,585,361","737,167","436,437","2,758,965","2,673,515","450,945","3,124,459","1,177,103","448,077","436,437","2,061,616","3,081,773","740,035","3,821,808","4,258,876","1,188,112","436,437","5,883,425"
,Eylül,"1,633,619","773,531","452,601","2,859,751","2,745,005","465,253","3,210,258","1,216,832","483,770","452,601","2,153,203","3,161,792","755,014","3,916,806","4,378,624","1,238,784","452,601","6,070,009"
,Ekim,"1,697,685","818,678","450,399","2,966,763","2,826,690","485,377","3,312,066","1,268,922","500,290","450,399","2,219,611","3,255,453","803,765","4,059,218","4,524,375","1,304,055","450,399","6,278,829"
,Kasım,"1,761,988","873,119","451,360","3,086,466","2,976,842","513,251","3,490,094","1,315,293","540,569","451,360","2,307,223","3,423,537","845,801","4,269,337","4,738,830","1,386,370","451,360","6,576,560"
,Aralık,"1,845,747","904,128","459,377","3,209,252","2,979,492","547,845","3,527,338","1,388,534","560,782","459,377","2,408,693","3,436,706","891,191","4,327,897","4,825,240","1,451,973","459,377","6,736,590"
,(*) Geçici ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Soru ve görüşleriniz için:,,,,,,,,,,,,,,,,,,
,E-posta: kaf.icborc@hmb.gov.tr,,,,,,,,,,,,,,,,,,
,"T.C. Hazine ve Maliye Bakanlığı, Kamu Finansmanı Genel Müdürlüğü",,,,,,,,,,,,,,,,,,
